,player_id,player_name,player_hand,player_ht,player_ioc
0,100437,Bjorn Borg,R,180.0,SWE
1,100653,Andres Gomez,L,193.0,ECU
2,100701,Marko Ostoja,R,175.0,CRO
3,100600,Pascal Portes,R,175.0,FRA
4,100372,Trey Waltke,R,173.0,USA
5,100332,Balazs Taroczy,R,183.0,HUN
6,100579,Heinz Gunthardt,R,180.0,SUI
7,100339,Victor Amaya,L,201.0,USA
8,100383,Peter Mcnamara,R,185.0,AUS
9,100368,Haroon Ismail,R,178.0,ZIM
10,100486,Christophe Roger Vasselin,R,188.0,FRA
11,100434,Tomas Smid,R,190.0,CZE
12,100297,Corrado Barazzutti,R,178.0,ITA
13,100253,Tom Gullikson,L,180.0,USA
14,100367,Belus Prajoux,R,170.0,CHI
15,100395,Victor Pecci,R,193.0,PAR
16,100282,Guillermo Vilas,L,180.0,ARG
17,100099,Thomaz Koch,L,,BRA
18,100211,Louk Sanders,R,,NED
19,100376,Buster C Mottram,R,193.0,GBR
20,100422,Bruce Manson,L,173.0,USA
21,100468,Dominique Bedel,R,185.0,FRA
22,100411,Pavel Slozil,R,173.0,CZE
23,100174,Manuel Orantes,L,178.0,ESP
24,100656,Ivan Lendl,R,188.0,USA
25,100498,Klaus Eberhard,R,,GER
26,100261,Brian Gottfried,R,183.0,USA
27,100536,Fernando Luna,R,175.0,ESP
28,100483,Christophe Casa,R,178.0,FRA
29,100585,Van Winitsky,L,185.0,USA
30,100474,Chris Lewis,R,180.0,NZL
31,100286,Harold Solomon,R,168.0,USA
32,100232,Eddie Dibbs,R,170.0,USA
33,100942,Thierry Tulasne,R,178.0,FRA
34,100171,John Yuill,R,,RSA
35,100309,Raul Ramirez,R,183.0,MEX
36,100240,Joao Soares,R,185.0,BRA
37,100403,Rolf Gehring,R,185.0,GER
38,100144,Bob Lutz,R,180.0,USA
39,100417,Hans Gildemeister,R,183.0,CHI
40,100555,Jose Luis Clerc,R,185.0,ARG
41,100676,Yannick Noah,R,193.0,FRA
42,100586,Eliot Teltscher,R,178.0,USA
43,100273,Kim Warwick,R,183.0,AUS
44,100821,Hans Simonsson,R,178.0,SWE
45,100200,Antonio Zugarelli,R,,ITA
46,100271,Jean Francois Caujolle,L,,FRA
47,100284,Jimmy Connors,L,178.0,USA
48,100342,Vitas Gerulaitis,R,183.0,USA
49,100655,Fritz Buehning,R,196.0,USA
50,100113,Jan Kodes,R,175.0,CZE
51,100449,Stanislav Birner,R,170.0,CZE
52,100397,Terry Rocavert,R,180.0,AUS
53,100268,Denis Naegelen,R,,FRA
54,100456,Ferdi Taygan,R,173.0,USA
55,100362,Peter Fleming,R,196.0,USA
56,100280,Wojtek Fibak,R,183.0,POL
57,100252,Tim Gullikson,R,180.0,USA
58,100354,Bernard Mitton,R,188.0,RSA
59,100249,Paolo Bertolucci,R,175.0,ITA
60,100356,Paul Mcnamee,R,178.0,AUS
61,100415,Michael Grant,R,178.0,USA
62,100667,Per Hjertquist,R,183.0,SWE
63,100581,John McEnroe,L,180.0,USA
129,100592,Robert Vant Hof,R,193.0,USA
130,100360,Brian Teacher,R,190.0,USA
132,100229,Dick Stockton,R,188.0,USA
133,100116,Sherwood Stewart,R,188.0,USA
134,100326,Russell Simpson,R,188.0,NZL
135,100436,Nick Saviano,L,180.0,USA
136,100446,John Sadri,R,188.0,USA
139,100135,Onny Parun,R,188.0,NZL
140,100214,Adriano Panatta,R,183.0,ITA
141,100084,Tom Okker,R,178.0,NED
142,100119,Ilie Nastase,R,183.0,ROU
145,100281,Sashi Menon,R,180.0,IND
147,100219,Geoff Masters,R,,AUS
149,100464,Warren Maher,R,,AUS
152,100243,Steve Krulevitz,R,175.0,USA
153,100752,Ramesh Krishnan,R,170.0,IND
154,100532,Johan Kriek,R,175.0,USA
156,100516,Andrew Jarrett,R,,GBR
159,100451,Tony Graham,R,,USA
161,100515,Shlomo Glickstein,R,188.0,ISR
162,100314,Bernard Fritz,R,173.0,FRA
163,100285,Rod Frawley,R,185.0,AUS
164,100713,John Fitzgerald,R,183.0,AUS
165,100259,Peter Feigl,R,183.0,AUT
166,100055,Cliff Drysdale,R,188.0,RSA
167,100551,Brad Drewett,L,185.0,AUS
168,100199,Patrice Dominguez,L,173.0,FRA
169,100091,Colin Dibley,R,188.0,AUS
170,100203,Phil Dent,R,183.0,AUS
171,100529,Kevin Curren,R,185.0,USA
172,100073,Mark Cox,L,185.0,GBR
173,100257,Ross Case,R,,AUS
176,100492,John Austin,R,193.0,USA
178,100126,Stan Smith,R,193.0,USA
179,100315,Hank Pfister,R,193.0,USA
182,100345,Pat Dupre,R,190.0,USA
185,100428,Gene Mayer,R,183.0,USA
186,100255,Roscoe Tanner,L,183.0,USA
255,100639,Blaine Willenborg,R,170.0,USA
256,100631,Tim Wilkison,L,180.0,USA
257,100380,Butch Walts,R,193.0,USA
259,100231,Erik Van Dillen,R,183.0,USA
261,100308,Robert Trogolo,R,180.0,RSA
266,100465,Mike Shore,R,,USA
267,100452,Bill Scanlon,R,185.0,USA
269,100574,Peter Rennert,L,185.0,USA
270,100611,Mel Purcell,R,178.0,USA
274,100450,Leo Palin,R,178.0,FIN
277,100276,Terry Moor,L,178.0,USA
278,100392,Richard Meyer,R,183.0,USA
280,100499,Chris Mayotte,R,186.0,USA
285,100567,Chip Hooper,R,198.0,USA
286,100375,John Hayes,R,193.0,USA
290,100402,Francisco Gonzalez,R,193.0,PAR
293,100905,Sammy Giammalva Jr,R,178.0,USA
294,100535,Tony Giammalva,R,190.0,USA
296,100319,Rick Fagel,R,180.0,USA
299,100753,Juan Carlos Ayala,R,,CHI
300,101061,Jimmy Arias,R,175.0,USA
301,100321,Vijay Amritraj,R,193.0,IND
312,100477,Gianni Ocleppo,R,183.0,ITA
382,100210,Steve Docherty,R,,AUS
387,100364,Jonathan Smith,R,188.0,GBR
390,100272,Sandy Mayer,R,178.0,USA
391,100519,Scott Mccain,R,180.0,USA
398,100413,Ulrich Marten,R,,GER
402,100699,Chris Johnstone,R,175.0,AUS
403,100337,Mark Edmondson,R,185.0,AUS
406,100201,Syd Ball,R,188.0,AUS
407,100182,Mike Estep,R,173.0,USA
445,100652,Cassio Motta,R,180.0,BRA
446,100394,Angel Gimenez,R,163.0,ESP
447,100307,Paul Torre,R,180.0,FRA
449,100453,Jose Luis Damiani,R,185.0,URU
450,100185,Patrick Proisy,R,180.0,FRA
454,100393,Marcos Hocevar,R,185.0,BRA
455,100797,Ben Testerman,L,185.0,USA
457,100481,Roberto Vizcaino,R,178.0,ESP
461,100121,Raymond Moore,R,183.0,RSA
465,100274,Eric Deblicker,R,178.0,FRA
470,100421,Jan Norback,R,,SWE
473,100233,Ricardo Cano,R,170.0,ARG
478,100607,Eduardo Bengoechea,R,185.0,ARG
480,100546,Eric Fromm,R,178.0,USA
481,100461,Billy Martin,R,178.0,USA
482,100525,Gilles Moretton,R,190.0,FRA
484,100526,Ricardo Ycaza,R,183.0,ECU
488,100800,Diego Perez,R,178.0,URU
489,100220,Jiri Hrebec,R,,CZE
490,100115,Jaime Fillol,R,180.0,CHI
493,100292,Alvaro Fillol,R,178.0,CHI
495,100651,Alejandro Ganzabal,R,180.0,ARG
496,100221,Carlos Kirmayr,R,173.0,BRA
502,100431,Mansour Bahrami,R,178.0,IRI
505,100921,Patrice Kuchna,R,178.0,FRA
506,100764,Gabriel Urpi,R,173.0,ESP
571,100472,Craig Wittus,R,180.0,USA
573,101062,Mats Wilander,R,183.0,SWE
584,100173,Andrew Pattison,R,188.0,USA
585,108505,Wayne Pascoe,R,,AUS
586,100893,Joakim Nystrom,R,188.0,SWE
591,100689,Tim Mayotte,R,190.0,USA
594,100343,John Lloyd,R,178.0,GBR
596,100265,Cliff Letcher,R,,AUS
597,100936,Henri Leconte,L,185.0,FRA
598,100346,Paul Kronk,R,,AUS
610,100266,John Feaver,R,190.0,GBR
613,100570,Marty Davis,R,183.0,USA
617,100186,Jeff Borowiak,R,193.0,USA
631,100605,Charlie Fancutt,R,178.0,AUS
701,100471,Mark Vines,L,170.0,USA
704,100489,Larry Stefanki,R,178.0,USA
705,100603,Roland Stadler,A,178.0,SUI
721,100597,Jay Lapidus,L,188.0,USA
724,100236,John James,R,183.0,AUS
732,100440,Eddie Edwards,R,190.0,RSA
735,100517,Matt Doyle,R,193.0,USA
736,100488,Chris Delaney,R,,USA
738,100384,Alejandro Cortes,R,,COL
739,100430,David Carter,R,183.0,AUS
740,100279,Mike Cahill,R,183.0,USA
831,100715,Jim Gurfein,L,175.0,USA
835,100844,Jerome Potier,L,180.0,FRA
838,100445,Steve Denton,R,188.0,USA
840,100244,John Alexander,R,190.0,AUS
847,100962,Thomas Hogstedt,R,190.0,SWE
851,100301,Jim Delaney,R,,USA
855,100359,Richard Lewis,L,,GBR
889,100829,Jan Gunnarsson,R,185.0,SWE
890,101098,Guy Forget,L,190.0,FRA
892,100325,Ulrich Pinner,R,178.0,GER
896,100300,Jose Higueras,R,178.0,ESP
897,100363,Jiri Granat,R,185.0,CZE
898,100661,Damir Keretic,R,178.0,GER
899,100636,Gustavo Tiberti,R,175.0,ARG
901,100543,Peter Elter,R,178.0,GER
905,109771,Jairo Velasco,R,173.0,ESP
906,100565,Lloyd Bourne,R,190.0,USA
907,100719,Juan Avendano,R,178.0,ESP
909,100530,Andreas Maurer,R,175.0,GER
912,100310,Mike Myburg,R,,RSA
926,100799,Carlos Castellan,R,190.0,ARG
928,100759,Danie Visser,L,180.0,RSA
932,100782,Pablo Arraya,R,180.0,PER
934,100993,Loic Courteau,R,175.0,FRA
937,100599,Bernard Boileau,R,185.0,BEL
941,100757,Anders Jarryd,R,180.0,SWE
1015,100738,Schalk Van Der Merwe,R,,RSA
1023,100640,Stefan Simonsson,R,175.0,SWE
1028,100646,Claudio Panatta,R,178.0,ITA
1030,100553,Nduka Odizor,R,183.0,NGR
1043,100540,Drew Gitlin,R,178.0,USA
1051,100649,David Dowlen,R,178.0,USA
1052,100377,Colin Dowdeswell,R,185.0,GBR
1053,100790,Bruce Derlin,L,180.0,NZL
1060,100575,Andy Andrews,R,185.0,USA
1144,100502,Vincent Van Patten,R,180.0,USA
1147,101013,Henrik Sundstrom,R,188.0,SWE
1154,100762,Freddie Sauer,R,,RSA
1162,100475,Matt Mitchell,R,180.0,USA
1168,106706,Cary Leeds,R,,USA
1169,100887,Eric Korita,R,196.0,USA
1172,100765,Rodney Harmon,R,188.0,USA
1177,100763,Brad Gilbert,R,185.0,USA
1181,100635,Mark Dickson,R,190.0,USA
1182,100780,Mike De Palmer,L,185.0,USA
1184,100855,Scott Davis,R,188.0,USA
1186,100537,Mike Brunnberg,R,190.0,USA
1187,101131,Jimmy Brown,R,180.0,USA
1270,100493,Eric Sherbeck,R,193.0,USA
1271,100407,Dale Collings,R,,AUS
1274,100781,Bernhard Pils,R,178.0,AUT
1278,100923,Wally Masur,R,180.0,AUS
1279,107397,John Stoddart,R,,AUS
1286,100550,Brad Guan,R,,AUS
1291,100589,Harald Theissen,R,,GER
1294,107357,Joe Meyers,R,,USA
1298,100815,David Pate,R,183.0,USA
1311,101138,Pat Cash,R,183.0,AUS
1319,100675,John Mccurdy,R,188.0,AUS
1323,100606,Mike Bauer,R,188.0,USA
1327,100353,Bruce Kleege,R,190.0,USA
1381,100857,Sergio Casal,R,185.0,ESP
1382,100769,Mario Martinez,R,170.0,BOL
1384,100910,Magnus Tideman,R,193.0,SWE
1413,100883,Christophe Bernelle,R,185.0,FRA
1417,100390,Trevor Allan,L,178.0,AUS
1423,100578,Brent Pirow,R,,RSA
1424,101109,Tarik Benhabiles,R,175.0,FRA
1426,100848,Alberto Tous,R,175.0,ESP
1492,201470,Tian C Viljoen,R,191.0,RSA
1499,100730,Florin Segarceanu,R,180.0,ROU
1504,100868,Craig A Miller,R,188.0,AUS
1511,100657,Mike Leach,L,180.0,USA
1514,101084,Jakob Hlasek,R,188.0,SUI
1526,101222,Stefan Edberg,R,188.0,SWE
1527,100714,Broderick Dyke,L,183.0,AUS
1536,100998,Stuart Bale,L,185.0,GBR
1540,100518,Ricardo Acuna,R,175.0,CHI
1620,100504,Jerome Vanier,L,175.0,FRA
1622,100624,Derek Tarr,L,185.0,USA
1624,100742,Christo Steyn,R,185.0,RSA
1627,100920,Robert Seguso,R,190.0,USA
1630,100950,Libor Pimek,R,196.0,BEL
1635,100836,Glenn Michibata,R,175.0,CAN
1636,100534,Steve Meister,R,193.0,USA
1641,100625,Scott Lipton,L,,USA
1643,100964,Jon Levine,R,178.0,USA
1644,101381,Aaron Krickstein,R,183.0,USA
1648,100957,Greg Holmes,R,178.0,USA
1663,100562,Tom Cain,R,185.0,USA
1745,101154,Simon Youl,R,185.0,AUS
1754,101256,Mark Kratzmann,L,178.0,AUS
1774,100934,Matt Anger,R,188.0,USA
1786,100926,Ken Flach,R,185.0,USA
1798,100663,Marcel Freeman,R,173.0,USA
1803,100609,Zoltan Kuharszky,R,183.0,HUN
1859,101073,Martin Jaite,R,178.0,ARG
1862,101142,Emilio Sanchez,R,180.0,ESP
1868,100894,Francesco Cancellotti,R,183.0,ITA
1869,100946,Slobodan Zivojinovic,R,198.0,YUG
1870,101120,Karel Novacek,R,190.0,CZE
1874,101020,Hans Schwaier,R,173.0,GER
1875,101158,John Frawley,R,173.0,AUS
